SENSOR NAME,OBS TIME,NORMAL LEVEL,CURRENT,DESCRIPTION
QCPU,May 14 09:40 AM,0.0,0.0,0.0
Masambong,May 14 09:40 AM,0.0,0.0,0.0
Batasan Hills,May 14 09:40 AM,0.0,0.0,0.0
Ugong Norte,May 14 09:40 AM,0.0,0.0,0.0
Ramon Magsaysay HS,May 14 09:40 AM,0.0,0.0,0.0
UP Village,May 14 09:40 AM,0.0,0.0,0.0
Dona Imelda,May 14 09:40 AM,0.0,0.0,0.0
Kaligayahan,May 14 09:40 AM,0.0,0.0,0.0
Emilio Jacinto Sr HS,May 14 09:40 AM,0.0,0.0,0.0
Payatas ES,May 14 09:40 AM,0.0,0.0,0.0
Ramon Magsaysay Brgy Hall,May 14 09:40 AM,0.0,0.0,0.0
Phil-Am,May 14 09:40 AM,0.0,0.0,0.0
Holy Spirit,May 14 09:40 AM,0.0,0.0,0.0
Libis,May 14 09:40 AM,0.0,0.0,0.0
South Triangle,May 14 09:40 AM,0.0,0.0,0.0
Nagkaisang Nayon,May 14 09:40 AM,0.0,0.0,0.0
Tandang Sora,May 14 09:40 AM,0.0,0.0,0.0
Talipapa,May 14 09:40 AM,0.0,0.0,0.0
Balingasa High School,May 14 09:40 AM,0.0,0.0,0.0
Toro Hills Elementary School,May 14 09:40 AM,0.0,0.0,0.0
Quezon City University San Francisco Campus,May 14 09:40 AM,0.0,0.0,0.0
Maharlika Brgy Hall,May 14 09:40 AM,0.0,0.0,0.0
Bagong Silangan Evacuation Center,May 14 09:40 AM,0.0,0.0,0.0
Dona Juana Elementary School,May 14 09:40 AM,0.0,0.0,0.0
Quirino High School,May 14 09:40 AM,0.0,0.0,0.0
Old Balara Elementary School,May 14 09:40 AM,0.0,0.0,0.0
Pansol Kaingin 1 Brgy Satellite Office,May 14 09:40 AM,0.0,0.0,0.0
Jose P Laurel Senior High School,May 14 09:40 AM,0.0,0.0,0.0
Pinyahan Multipurose Hall,May 14 09:40 AM,0.0,0.0,0.0
Sikatuna Brgy Hall,May 14 09:40 AM,0.0,0.0,0.0
Kalusugan Brgy Hall,May 14 09:40 AM,0.0,0.0,0.0
Laging Handa Barangay Hall,May 14 09:40 AM,0.0,0.0,0.0
Amoranto Sport Complex,May 14 09:40 AM,0.0,0.0,0.0
Maligaya High School,May 14 09:40 AM,0.0,0.0,0.0
San Agustin Brgy Hall,May 14 09:40 AM,0.0,0.0,0.0
Jose Maria Panganiban Senior High School,May 14 09:40 AM,0.0,0.0,0.0
North Fairview Elementary School,May 14 09:40 AM,0.0,0.0,0.0
Sauyo Elementary School,May 14 09:40 AM,0.0,0.0,0.0
New Era Brgy Hall,May 14 09:40 AM,0.0,0.0,0.0
Ismael Mathay Senior High School,May 14 09:40 AM,0.0,0.0,0.0
Brgy Fairview (REC),0.0,0.0,1.12,0.0
Brgy Baesa Hall,0.0,0.0,1.22,0.0
Brgy N.S Amoranto Hall,0.0,0.0,1.2,0.0
Brgy Valencia Hall,0.0,0.0,1.27,0.0
North Fairview,May 14 09:40 AM,6.87,6.95,6.95
Batasan-San Mateo,May 14 09:40 AM,10.2,10.12,10.12
Bahay Toro,May 14 09:40 AM,8.54,8.35,8.35
Sta Cruz,May 14 09:40 AM,9.1,9.34,9.34
San Bartolome,May 14 09:40 AM,6.25,6.46,6.46
N.S. Amoranto Street,May 14 09:40 AM,0.0 m,0.0 m,No Flood
New Greenland,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Kalantiaw Street,May 14 09:40 AM,0.0 m,0.0 m,No Flood
F. Calderon Street,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Christine Street,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Ramon Magsaysay Brgy Hall,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Phil-Am,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Holy Spirit,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Libis,May 14 09:40 AM,0.0 m,0.0 m,No Flood
South Triangle,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Nagkaisang Nayon,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Tandang Sora,May 14 09:40 AM,0.0 m,0.0 m,No Flood
Talipapa,May 14 09:40 AM,0.0 m,0.0 m,No Flood
N.S. Amoranto Street,May 14 10:00 AM,0.0,0.0,0.0
New Greenland,May 14 10:00 AM,0.0,0.0,0.0
Kalantiaw Street,May 14 10:00 AM,0.0,0.0,0.0
F. Calderon Street,May 14 10:00 AM,0.0,0.0,0.0
Christine Street,May 14 10:00 AM,0.0,0.0,0.0
Ramon Magsaysay Brgy Hall,May 14 10:00 AM,0.0,0.0,0.0
Phil-Am,May 14 10:00 AM,0.0,0.0,0.0
Holy Spirit,May 14 10:00 AM,0.0,0.0,0.0
Libis,May 14 10:00 AM,0.0,0.0,0.0
South Triangle,May 14 10:00 AM,0.0,0.0,0.0
Nagkaisang Nayon,May 14 10:00 AM,0.0,0.0,0.0
Tandang Sora,May 14 10:00 AM,0.0,0.0,0.0
Talipapa,May 14 10:00 AM,0.0,0.0,0.0
Kaliraya Bridge,May 14 10:15 AM,0.9,0.99,0.98
Culiat Bridge,May 14 10:15 AM,1.49,1.39,1.39
Tullahan Bridge II,May 14 10:15 AM,1.17,1.19,1.18
QCDRRMO,May 14 10:26 AM,0.0,0.0,0.0
QCDRRMO REC,May 14 10:26 AM,0.0,0.0,0.0
